"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/duzce-merkez-aziziye-kiralik/daire/151069-15","32","18.500","29-06-2025","Kiralık Daire","1 +
                          1","65 m²","3
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Aziziye Mahallesinde Kiralık Eşyalı 1+1 Daire","Düzce / Merkez / Aziziye Mah.","","","",""
"https://www.hepsiemlak.com/duzce-merkez-kiremitocagi-kiralik/daire/94492-311","35","18.000","06-07-2025","Kiralık Daire","3 +
                          1","140 m²","14
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Düzce  Kiremitocağı  Mahallesinde  Kiralık  3+1 140m2  Arakat  Daire","Düzce / Merkez / Kiremitocağı Mah.","https://www.hepsiemlak.com/emlak-ofisi/bora-emlak-94492","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/9/4/4/9/0/3418f2f4-70a1-4669-bcce-212ef5ea82f4.jpg","Bora Emlak",""
"https://www.hepsiemlak.com/duzce-merkez-kultur-kiralik/daire/140272-680","20","12.500","05-07-2025","Kiralık Daire","3 +
                          1","120 m²","25
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Havva Genç Gayrimenkul'den Kültür Mah.Kiralık 3+1 Daire","Düzce / Merkez / Kültür Mah.","https://www.hepsiemlak.com/emlak-ofisi/havva-genc-gayrimenkul-ve-danismanlik-140272","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/2/0/4/1/a88a409c-ff11-439d-bdcd-3ed6bfca2861.jpg","Havva Genç Gayrimenkul Ve Danışmanlık",""
"https://www.hepsiemlak.com/duzce-merkez-derelitutuncu-kiralik/daire/140083-648","26","16.000","05-07-2025","Kiralık Daire","2 +
                          1","100 m²","5
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Epa Uğur'dan Derelitütüncüde 3.Kat Kiralık 2+1 Ayrı Mutfak Daire","Düzce / Merkez / Derelitütüncü Mah.","https://www.hepsiemlak.com/emlak-ofisi/epa-ugur-gayrimenkul-140083","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/9/1/9/8/4/4/c42b8155-3c5d-42b5-8859-c8edb706d462.jpg","Epa Uğur Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/8/0/0/4/1/1ac9fa3c-76e3-4b85-a02b-b2471a67488a.jpg"
"https://www.hepsiemlak.com/duzce-merkez-kara-hacimusa-kiralik/daire/110641-155","26","20.000","01-07-2025","Kiralık Daire","2 +
                          1","85 m²","11
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Karaca Hacı Musa Mahallesi Memursen'de Kiralık Daire","Düzce / Merkez / Kara Hacımusa Mah.","https://www.hepsiemlak.com/emlak-ofisi/salmak-emlak-110641","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/4/4/7/8/4/4/2b072ed723fec626919bbae578f63ddbb12d861867aae3d1c1c8451b77444470e4bb689f8be0a66f5e8ab1783ea430d7.jpg","Salmak Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/4/6/0/1/1/f7109594-494e-45db-a2e4-004c36e5c320.jpg"
"https://www.hepsiemlak.com/duzce-merkez-orhangazi-kiralik/daire/95423-122","30","9.000","04-07-2025","Kiralık Daire","1 +
                          1","60 m²","6
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Düzce-Konuralp-Üniversite Giriş Kapısı Karşısı Kiralık 1+1 Daire","Düzce / Merkez / Orhangazi Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/4/5/8/5/4/4/c1d8bb05-9f6c-4ab4-b713-41897d2da8b5.jpg","",""
"https://www.hepsiemlak.com/duzce-merkez-orhangazi-kiralik/daire/142633-76","12","15.000","01-07-2025","Kiralık Daire","1 +
                          1","55 m²","5
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Özne Gayrimenkul’den Düzce Orhangazide Eşyalı Kiralık 1+1 Daire","Düzce / Merkez / Orhangazi Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/0/8/8/7/4/4/1749980239-293633-44788000.jpeg","",""
"https://www.hepsiemlak.com/duzce-akcakoca-yali-kiralik/daire/143862-77","12","16.500","30-06-2025","Kiralık Daire","2 +
                          1","97 m²","4
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Akçakoca Can Emlaktan Merkezde Kiralık 2+1 Daire","Düzce / Akçakoca / Yalı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/4/0/5/3/4/4/fb770672-a5dd-44d5-8eea-f9bac95ea20c.jpg","",""
"https://www.hepsiemlak.com/duzce-merkez-fatih-kiralik/daire/140272-679","20","12.000","04-07-2025","Kiralık Daire","2 +
                          0","90 m²","30
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Havva Genç Gayrimenkul'den 7 Adet Kiralık Daire.Açıklamayı Okuyunuz...","Düzce / Merkez / Fatih Mah.","https://www.hepsiemlak.com/emlak-ofisi/havva-genc-gayrimenkul-ve-danismanlik-140272","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/1/8/6/8/4/4/1751299368-748087-44868155.jpeg","Havva Genç Gayrimenkul Ve Danışmanlık","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/2/0/4/1/a88a409c-ff11-439d-bdcd-3ed6bfca2861.jpg"
"https://www.hepsiemlak.com/duzce-merkez-sehit-murat-demir-kiralik/daire/110641-140","50","12.000","05-07-2025","Kiralık Daire","2 +
                          1","87 m²","3
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Konuralp'de Kiralık Daire","Düzce / Merkez / Şehit Murat Demir Mah.","https://www.hepsiemlak.com/emlak-ofisi/salmak-emlak-110641","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/1/0/5/6/4/4/f0a15013d460e1ee3e76ea4d82d864b4fe9cbb152396daffd0452b1ce1bd3305a7a5cfdc3fe89b8a281ccfa47ad7e2c1.jpg","Salmak Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/4/6/0/1/1/f7109594-494e-45db-a2e4-004c36e5c320.jpg"
